channel_id_x,fusion_embedding_index,cluster_id,community_id
UC0WxHitHehC-gm3r2BYV_FA,387,6,4
UC0XBdK3gm_7ezobbPAloccQ,388,0,3
UC0XKvSq8CcMBSQTKXZXnEiQ,389,6,4
UC0YG5UA1s2gLb5tDfUCIWtg,390,0,3
UC0YatYmg5JRYzXJPxIdRd8g,391,0,3
UC0YlEgUpFF3pepqyfGKN31Q,392,6,4
UC0YvTCy1I4_a-3pn47_5DBA,393,5,10
UC0Z2kSgKAHFRmcoQAYLvOlw,394,4,11
UC0ZV6M2THA81QT9hrVWJG3A,395,5,10
UC0_AziIovFE4qYOqbx3ukOQ,396,5,14
UC0_MIBGcg9HycPJuqslVEjw,397,7,12
UC0aMPje3ZACnQPKM_qzY0vw,398,6,1
UC0aXGG4J16PmxgZo10Nzk6A,399,6,14
UC0aXrjVxG5pZr99v77wZdPQ,400,6,14
UC0ahC64OhIAS11TJX9Ig86A,401,8,0
UC0avk6i7f9ZYFfORXMgZxlA,402,4,7
UC0c2BU4IW_eulz3vVyO7goQ,403,0,5
UC0cHVZAeY_qxI7Z-7nJFXkg,404,4,8
UC0cd_-e49hZpWLH3UIwoWRA,405,4,11
UC0dQFymlTdbTuj4pLZd80uQ,406,4,2
UC0dtFVG8ppG325ggtXLUpIw,407,8,0
UC0e3QhIYukixgh5VVpKHH9Q,408,5,10
UC0e3ennzBrYFoeTdlgAMgIg,409,0,14
UC0e4Rnb9u7b2YBWQN7e7B6A,410,0,14
UC0e6qNVupPsR_DvdCm4NahQ,411,6,14
UC0eLBYhxW9HC0P9PXQ73mpQ,412,4,9
UC0fXNmjDoC7ckPyT6qM8Urw,413,0,3
UC0fiLCwTmAukotCXYnqfj0A,414,4,2
UC0flZJIclTtCfTS3G7aAVRw,415,0,1
UC0fvGpDXi7sV2hbgD-O47yw,416,4,7
UC0g898YlZi90Bet3A7Al5Pw,417,6,4
UC0gEw6pgNkLkkzMwzX4UtHA,418,5,14
UC0gOw4iy-6HwO01q-gA1B0Q,419,5,14
UC0h07r_UgTD0Tc-Dn5XLX3g,420,4,10
UC0h0LUdndpq1CU8gv71sJ4A,421,0,3
UC0h0a535Q4o1xtCvGLnL7Ng,422,4,8
UC0h4JWSv8dtUW6A_2fbuYKQ,423,5,14
UC0hWgcc02QfOJiSZ24c4uKQ,424,0,4
UC0hy7TcR1gGD8nQBqrF2FaA,425,0,3
UC0ie8zLKqOUaYzNbKNu8zlQ,426,0,5
UC0ifXd2AVf1LMYbqwB5GH4g,427,5,14
UC0intLFzLaudFG-xAvUEO-A,428,5,10
UC0jPwNs4B7yJySNewHan5hQ,429,4,2
UC0jYsRTJinyj5mQSY96WByw,430,0,3
UC0k173Oca1nPZurW2ITHlYw,431,6,1
UC0k238zFx-Z8xFH0sxCrPJg,432,4,1
UC0k5ulMTxHlUzzJRnOtBRMA,433,5,14
UC0k91MwJuS5VvNOJdbDhPYA,434,4,2
UC0k9PfNjEkzISBnSk43mzvQ,435,8,0
UC0kTZ3JppUFIitb7KhuDx7g,436,5,0
UC0k_TyDiwTHdLNqq3A5d83g,437,8,0
UC0lkCn7D--uMrtwAXRj_cdw,438,5,14
UC0mJA1lqKjB4Qaaa2PNf0zg,439,4,1
UC0mUI4iBn1ptBZFj_mc35kg,440,8,16
UC0m_NUHHaR8MnGDrNpRKtgA,441,5,9
UC0n7hqQFFEZnwxrcVh09uVA,442,6,0
UC0naxH1ZGg_hmVBX6gKDeNQ,443,0,12
UC0ng0jJflTuJBBH5DGvr1Pw,444,4,7
UC0oK8s58FCWQUePi32hWhdw,445,4,4
UC0ogDiZqeWlr4lOcYEf-cew,446,6,4
UC0ohl1eKTtlJNqbD-HWRQVg,447,5,10
UC0otZdGYsA9KqVKAcn2peQA,448,5,2
UC0ox9NuTHYeRys63yZpBFuA,449,4,3
UC0p5jTq6Xx_DosDFxVXnWaQ,450,4,1
UC0p5tBJyylhgBXS9BhjWmow,451,5,14
UC0pFEFO86OwhVUcqAQ4ICjQ,452,4,8
UC0plk8ZbRs_AxIRzQ2lED_w,453,6,4
UC0psAD-M4X6O0yC_hFRK4hw,454,4,9
UC0qI3HpiBua75glb4RV5mWA,455,5,10
UC0qrcKuayvbMtPj-WXNFylA,456,0,3
